imdb_id,soundtrack,title,year,gross,currency,scope,source
tt0111149,Shallow Grave,Shallow Grave,1994.0,2079569.0,USD,domestic only,boxofficemojo
tt0119978,The Rainmaker,The Rainmaker,1997.0,45916769.0,USD,domestic only,boxofficemojo
tt0138097,Shakespeare in Love,Shakespeare in Love,1998.0,289300000.0,USD,worldwide (max of reported figures),wikidata
tt0110689,Nostradamus,Nostradamus,1994.0,364164.0,USD,domestic only,boxofficemojo
tt0397085,Band of Brothers,,,,,,
tt0094226,The Untouchables,The Untouchables,1987.0,76270454.0,USD,worldwide (max of reported figures),wikidata
tt0117631,Shine,Shine,1996.0,35892330.0,USD,domestic only,boxofficemojo
tt0319061,Big Fish,Big Fish,2003.0,123000000.0,USD,worldwide (max of reported figures),wikidata
tt0052357,Vertigo,Vertigo,1958.0,7797728.0,USD,worldwide (max of reported figures),wikidata
tt0172495,Gladiator,Gladiator,2000.0,460583960.0,USD,worldwide (max of reported figures),wikidata
tt0240510,The Four Feathers,The Four Feathers,2002.0,18306166.0,USD,domestic only,boxofficemojo
tt0116209,The English Patient,The English Patient,1996.0,232000000.0,USD,worldwide (max of reported figures),wikidata
tt0404390,Running Scared,Running Scared,2006.0,6855137.0,USD,domestic only,boxofficemojo
tt0257044,Road to Perdition,Road to Perdition,2002.0,181001478.0,USD,worldwide (max of reported figures),wikidata
tt0054215,Psycho,Psycho,1960.0,50000000.0,USD,worldwide (max of reported figures),wikidata
tt0338188,The Missing,The Missing,2003.0,27011180.0,USD,domestic only,boxofficemojo
tt0095647,Mississippi Burning,Mississippi Burning,1988.0,34603943.0,USD,worldwide (max of reported figures),wikidata
tt0102511,Naked Lunch,Naked Lunch,1991.0,2641357.0,USD,worldwide (max of reported figures),wikidata
tt0101540,Cape Fear,Cape Fear,1991.0,182291969.0,USD,worldwide (max of reported figures),wikidata
tt0103874,Dracula,Bram Stoker's Dracula,1992.0,215862692.0,USD,worldwide (max of reported figures),wikidata
tt20251510,The Alien Trilogy,,,,,,
tt0096895,Batman,Batman,1989.0,411569241.0,USD,worldwide (max of reported figures),wikidata
tt0099348,Dances with Wolves,Dances with Wolves,1990.0,424208848.0,USD,worldwide (max of reported figures),wikidata
tt0119116,The Fifth Element,The Fifth Element,1997.0,263900000.0,USD,worldwide (max of reported figures),wikidata
tt0343221,Mother of Mine,Mother of Mine,2005.0,2851888.0,USD,domestic only,boxofficemojo
tt0117364,The Portrait of a Lady,The Portrait of a Lady,1996.0,3692836.0,USD,domestic only,boxofficemojo
tt0158692,Juha,Juha,1999.0,159298.0,USD,domestic only,boxofficemojo
tt1179025,Blanc,The Extraordinary Adventures of Adèle Blanc-Sec,2010.0,34604339.0,USD,domestic only,boxofficemojo
tt0032943,Pride and Prejudice,Pride and Prejudice,1940.0,,,,
tt0068646,The Godfather,The Godfather,1972.0,270007394.0,USD,worldwide (max of reported figures),wikidata
tt0380599,Oliver Twist,Oliver Twist,2005.0,2080321.0,USD,domestic only,boxofficemojo
tt0102138,JFK,JFK,1991.0,205405498.0,USD,worldwide (max of reported figures),wikidata
tt0075005,The Omen,The Omen,1976.0,60900000.0,USD,worldwide (max of reported figures),wikidata
tt0190332,Crouching Tiger Hidden Dragon,"Crouching Tiger, Hidden Dragon",2000.0,213500000.0,USD,worldwide (max of reported figures),wikidata
tt0427312,Grizzly Man,Grizzly Man,2005.0,4100000.0,USD,worldwide (max of reported figures),wikidata
tt0114069,Outbreak,Outbreak,1995.0,189800000.0,USD,worldwide (max of reported figures),wikidata
tt0325710,Last samurai,The Last Samurai,2003.0,456758981.0,USD,worldwide (max of reported figures),wikidata
tt0103776,Batman Returns,Batman Returns,1992.0,266915287.0,USD,worldwide (max of reported figures),wikidata
tt0104714,Lethal weapon 3,Lethal Weapon 3,1992.0,321731527.0,USD,worldwide (max of reported figures),wikidata
tt0093177,Hellraiser,Hellraiser,1987.0,14564027.0,USD,worldwide (max of reported figures),wikidata
tt0120711,Babylon 5,Babylon 5: In the Beginning,1998.0,,,,
tt0092563,Angel Heart,Angel Heart,1987.0,17185632.0,USD,worldwide (max of reported figures),wikidata
tt0212985,Hannibal,Hannibal,2001.0,351692268.0,USD,worldwide (max of reported figures),wikidata
https://www.imdb.com/title/,,,,,,,
