soundtrack,pipeline_f1,gt_valence,gt_energy,gt_tension,gt_anger,gt_fear,gt_happy,gt_sad,gt_tender,genre_Action,genre_Crime,genre_Drama,genre_Adventure,genre_Comedy,genre_Biography,genre_Documentary,genre_Horror,n_clips,log_gross,gross,year,scope
Angel Heart,0.25,3.525,2.8,4.4575,1.835,4.25,1.25,3.375,2.165,0,0,0,0,0,0,0,1,4,7.235165507905634,17185632.0,1987.0,worldwide (max of reported figures)
Batman,0.27936507936507937,4.135833333333333,4.575,4.405833333333333,1.8333333333333333,2.4441666666666664,3.5558333333333336,1.7783333333333333,2.214166666666667,1,0,0,1,0,0,0,0,12,8.61444290991174,411569241.0,1989.0,worldwide (max of reported figures)
Batman Returns,0.5625,2.27125,4.85875,5.95375,2.8275,5.7125,1.02125,1.625,1.0,1,1,0,0,0,0,0,0,8,8.426373447783844,266915287.0,1992.0,worldwide (max of reported figures)
Big Fish,0.44666666666666666,5.1866666666666665,3.29,3.0533333333333332,1.144,1.3333333333333333,3.5346666666666664,3.0506666666666664,4.33,0,0,1,1,0,0,0,0,15,8.089905111439398,123000000.0,2003.0,worldwide (max of reported figures)
Cape Fear,0.4305555555555555,2.15,4.823333333333333,6.105833333333333,5.265833333333333,5.096666666666667,1.0975,1.1941666666666666,1.0,0,1,0,0,0,0,0,0,12,8.26076753592973,182291969.0,1991.0,worldwide (max of reported figures)
Crouching Tiger Hidden Dragon,0.4765079365079365,4.093333333333333,3.908,4.108,2.162,2.0926666666666667,1.576,3.4846666666666666,2.822,1,0,1,1,0,0,0,0,15,8.329397879361043,213500000.0,2000.0,worldwide (max of reported figures)
Dances with Wolves,0.37916666666666665,6.00375,3.30375,2.1625,1.0,1.08375,4.43875,1.6875,5.0425,0,0,1,1,0,0,0,0,8,8.627579722637643,424208848.0,1990.0,worldwide (max of reported figures)
Dracula,0.2708333333333333,3.61625,3.7,4.89625,2.72875,3.905,1.0,2.92875,2.3575,0,0,0,0,0,0,0,1,8,8.334177588797317,215862692.0,1992.0,worldwide (max of reported figures)
Gladiator,0.41991341991341985,4.0209090909090905,4.399090909090909,4.609090909090909,3.9372727272727275,3.0481818181818183,1.3636363636363635,3.371818181818182,2.1354545454545457,1,0,1,1,0,0,0,0,11,8.663308809431976,460583960.0,2000.0,worldwide (max of reported figures)
Grizzly Man,0.0,4.19,4.8116666666666665,3.8000000000000003,1.915,2.6666666666666665,3.918333333333333,1.1116666666666666,2.8333333333333335,0,0,0,0,0,1,1,0,6,6.6127838567197355,4100000.0,2005.0,worldwide (max of reported figures)
Hannibal,0.4000000000000001,2.1333333333333333,4.756666666666667,6.033333333333334,4.11,6.333333333333333,1.0,1.3866666666666667,1.0,0,1,1,0,0,0,0,0,3,8.546162820401541,351692268.0,2001.0,worldwide (max of reported figures)
Hellraiser,0.4,1.5859999999999999,4.688000000000001,6.506,4.672,5.994,1.0,1.3599999999999999,1.0,0,0,0,0,0,0,0,1,5,7.163281475393748,14564027.0,1987.0,worldwide (max of reported figures)
JFK,0.20303030303030303,3.77,4.285454545454545,4.339090909090909,2.5463636363636364,3.3027272727272727,1.9700000000000002,2.1209090909090906,3.091818181818182,0,0,1,0,0,0,0,0,11,8.312612063989134,205405498.0,1991.0,worldwide (max of reported figures)
Juha,0.5,4.563571428571429,4.418571428571428,3.5214285714285714,1.315,1.657142857142857,3.5814285714285714,2.297857142857143,2.3464285714285715,0,0,1,0,1,0,0,0,14,5.202210323231035,159298.0,1999.0,domestic only
